Timestamp,Email or phone number (for the $50 Amazon gift card giveaway),What year are you?,What's your major, How do you usually study for exams? (Select all that apply),What tools do you currently use for studying? (Select all that apply),"If you use AI for studying, what do you use it for? (Select all that apply)", What's your biggest frustration when studying? (optional)," If an AI tutor could do ONE thing perfectly for you, what would it be? (optional)",Would you use an AI tutor connected to your actual course materials and grades?
2/24/2026 11:36:46,oluwatodimuadegoke@gmail.com,Junior,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/24/2026 11:48:34,ketsiad@udel.edu,Junior,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, Study groups, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Quizlet, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/24/2026 11:58:38,e.ekpenyong263@gmail.com,Sophomore,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.), Tutoring (in-person or online)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Generating practice questions, Checking my work & homework help, Writing assistance","#1 concepts that actually may not be that hard to understand, but are just explained in class poorly, so i have to do more work reinterpreting the content

#2 not able to get adequate practice problems tailored to my understanding level (lack of ability to have problems to work on scaled by difficult so I can progressively build understanding)","see point #2. ability to create accurate practice problems that can be injested from course notes/pdfs of textbook pages, and can have varied difficulty level","Yeah, that sounds super useful"
2/24/2026 12:05:20,samsongirma600@gmail.com,Freshman,"(CS, Engineering, Math, Science)","Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Khan Academy","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions, Checking my work & homework help, Writing assistance",Either not enough practice problems or not in-depth enough explanation and where one assumes a level of knowledge in which you have.,not assuming in knowledge in which i don't have,"Yeah, that sounds super useful"
2/24/2026 12:21:13,3372926606,Senior,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, None really — just my notes","Explaining concepts I don't understand, Generating practice questions","My biggest frustration when studying is when a professor doesn’t provide structured materials like PDFs or slides, and the only resource is what was said in class. Not everyone takes strong notes, and I prefer having organized materials to review. I learn best when I can refresh my understanding using structured notes, textbooks, or class PDFs.","If an AI tutor could do one thing perfectly for me, it would be to stay fully focused on my exact question, avoid hallucinating information, and not go off-topic. I want clear, accurate, and directly relevant answers.",Maybe — depends on how it works
2/24/2026 12:29:23,aboutrao10@gmail.com,Sophomore,"(CS, Engineering, Math, Science)","Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Generating practice questions",,,"Yeah, that sounds super useful"
2/24/2026 12:32:43,jfvasq1@gmail.com,Junior,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions, Writing assistance",,Track the progress that I've made on a certain topic,"Yeah, that sounds super useful"
2/24/2026 12:35:18,kevinthai256@gmail.com,Freshman,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, Study groups, AI tools (ChatGPT, Claude, etc.), Tutoring (in-person or online)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,Maybe — depends on how it works
2/24/2026 12:37:18,mataly499@gmail.com,Sophomore,"(CS, Engineering, Math, Science)","Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Generating practice questions",The duration,Explain hard concepts in easy/intermediate levels,"Yeah, that sounds super useful"
2/24/2026 12:42:46,ekakpablie05@gmail.com,Freshman,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Checking my work & homework help, Writing assistance","My biggest frustration when studying is how easy it is to lose deep focus because of constant digital distractions and context switching between tabs, apps, and notifications. When my focus breaks, it takes a long time to get back into a productive flow, so tasks end up taking much longer than they should.","Have it turn any lecture, textbook chapter, or problem set into a personalized “mastery path” for me: a sequence of explanations, visuals, and spaced practice that guarantees I actually understand and remember the material long term.","Yeah, that sounds super useful"
2/24/2026 12:51:57,6512353736,Sophomore,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Flashcards (physical or digital), Watch YouTube & video explanations, Study groups, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Quizlet, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,Maybe — depends on how it works
2/24/2026 13:48:37,muhammed373ali@gmail.com,Sophomore,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, AI tools (ChatGPT, Claude, etc.), Tutoring (in-person or online)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Generating practice questions, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/24/2026 13:52:58,dunwelldshawan@gmail.com,Sophomore,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions, Checking my work & homework help",How complicated textbook explanations are. I am also annoyed when slides or textbooks have a low number of examples/activities of concepts,Generate examples and practice questions that help me build knoweldge,"Yeah, that sounds super useful"
2/24/2026 14:01:07,trixiesthegreat@gmail.com,Senior,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides, None really — just my notes","Explaining concepts I don't understand, Generating practice questions",,,"Yeah, that sounds super useful"
2/24/2026 14:04:34,4047037052,Senior,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, I mostly wing it","Google Docs & Slides, None really — just my notes","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions, Writing assistance",generic slide decks provided from books,"Make a thoughtful study guide for each chapter of the textbook,  I am currently learning.",Maybe — depends on how it works
2/24/2026 14:08:35,xariamaharjan@gustavus.edu,Sophomore,"(CS, Engineering, Math, Science)","Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Notion","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",Not being able to visualize the concepts.,Show visual representations to explain through examples.,"Yeah, that sounds super useful"
2/24/2026 14:54:02,saronmehari29@gmail.com,Senior,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Summarizing readings & notes",,,"Yeah, that sounds super useful"
2/24/2026 14:54:23,kenyanglual05@gmail.com,Junior,"(CS, Engineering, Math, Science)","Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions, Checking my work & homework help",,Creating different practice tests ,"Yeah, that sounds super useful"
2/24/2026 17:00:34,cikenwodo@gmail.com,Sophomore,"(CS, Engineering, Math, Science)","Re-read notes & textbook, I write notes down while reading","Google Docs & Slides, Khan Academy, None really — just my notes","Explaining concepts I don't understand, Writing assistance",Getting a mind cloud and not grasping ANYTHING I'm reading,"Honestly, I wish it explained better in a single prompt than having to ask it to explain more clearly.",Maybe — depends on how it works
2/24/2026 18:23:20,saarayuthmaan@gmail.com,Senior,Informatics and Creative writing double degree,"Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, Study groups, AI tools (ChatGPT, Claude, etc.), Tutoring (in-person or online), I mostly wing it","ChatGPT & Claude & AI chatbots, Google Docs & Slides, None really — just my notes","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",When AI hallucinates and doesn’t help me understand a topic,Give an easy explanation to my level ,Maybe — depends on how it works
2/24/2026 19:30:50,tomassantos484@gmail.com,Senior,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Quizlet, Notion, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions, Checking my work & homework help, Writing assistance",Understanding concepts in a way where I can explain it to someone else without notes,"Explain concepts in a way where it clicks and why it’s important, and how to practice it in a relevant way","Yeah, that sounds super useful"
2/25/2026 12:19:55,859-972-3262,Junior,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Checking my work & homework help, Writing assistance",Not knowing what to study ,Tell me easy way to solve problems ,Maybe — depends on how it works
2/25/2026 16:50:28,Zabiba@uw.edu,Senior,Health & Pre-med,"Practice problems & past exams, Flashcards (physical or digital), Watch YouTube & video explanations, I mostly wing it","ChatGPT & Claude & AI chatbots, Quizlet, Anki, Google Docs & Slides","Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/25/2026 22:41:57,dolusheki@brandeis.edu,Freshman,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Practice problems & past exams, Flashcards (physical or digital), Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.), Tutoring (in-person or online)",NotebookLM,"Summarizing readings & notes, Generating practice questions",Gathering the materials in one place and organizing all of the course material,,"Probably not / No, I prefer studying on my own"
2/27/2026 9:08:06,karimicharity086@gmail.com,Sophomore,"(CS, Engineering, Math, Science)","Re-read notes & textbook, Watch YouTube & video explanations, AI tools (ChatGPT, Claude, etc.), Tutoring (in-person or online)",ChatGPT & Claude & AI chatbots,"Explaining concepts I don't understand, Summarizing readings & notes, Generating practice questions",Sometimes AI can explain different from what you were taught and now you have to figure out the most powerful answer,Use real life examples and applications when explaining,"Yeah, that sounds super useful"
2/27/2026 20:40:08,a166k6cq@www.lingeringp.com,Freshman,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,Maybe — depends on how it works
2/27/2026 20:40:08,xlxprmtd@qqq.youngestsd.com,Freshman,Humanities & Social Science,Flashcards (physical or digital),Anki,Generating practice questions,,,"Yeah, that sounds super useful"
2/27/2026 20:40:08,jmisoac1@www.lingeringp.com,Freshman,Business & Econ,Practice problems & past exams,Quizlet,"Generating practice questions, Checking my work & homework help",,,Maybe — depends on how it works
2/27/2026 20:40:08,j3dwanok@www.lingeringp.com,Freshman,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,Maybe — depends on how it works
2/27/2026 20:40:08,aa8pvfoo@qqq.youngestsd.com,Freshman,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,Maybe — depends on how it works
2/27/2026 20:40:08,drt0tr7i@qqq.youngestsd.com,Freshman,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,Maybe — depends on how it works
2/27/2026 20:40:10,i3jl5orm@www.lingeringp.com,Freshman,Business & Econ,Practice problems & past exams,Quizlet,Summarizing readings & notes,,,Maybe — depends on how it works
2/27/2026 20:40:10,sol0mx52@www.lingeringp.com,Freshman,Business & Econ,Watch YouTube & video explanations,Notion,Summarizing readings & notes,,,Maybe — depends on how it works
2/27/2026 20:40:13,uqnqinhg@qqq.youngestsd.com,Freshman,Business & Econ,Practice problems & past exams,Quizlet,"Summarizing readings & notes, Checking my work & homework help",,,Maybe — depends on how it works
2/27/2026 20:40:52,1p5uzrwnu@rrc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,Quizlet,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:40:52,3zrshib5q@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,Quizlet,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:40:52,ln2kizu97@rrc.rehearsalk.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,Quizlet,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:40:52,59e3oz3lc@vva.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)",Practice problems & past exams,Quizlet,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:41:05,jiftd4gva@xxe.youngestsd.com,Sophomore,Business & Econ,Flashcards (physical or digital),Khan Academy,"Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:09,493h6asa@cc.rehearsalk.com,Freshman,Business & Econ,Practice problems & past exams,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:41:09,gy4d0sjo@cc.rehearsalk.com,Freshman,Business & Econ,Practice problems & past exams,Notion,,,,"Yeah, that sounds super useful"
2/27/2026 20:41:09,xonackpr@zz.xintaitong.com,Freshman,Business & Econ,,Notion,,,,"Yeah, that sounds super useful"
2/27/2026 20:41:09,7pnrmvl7@zz.xintaitong.com,Freshman,Business & Econ,,Notion,,,,"Yeah, that sounds super useful"
2/27/2026 20:41:09,6yp87ogv@zz.xintaitong.com,Freshman,Business & Econ,Practice problems & past exams,Notion,,,,"Yeah, that sounds super useful"
2/27/2026 20:41:10,ebsnvwtu@cc.rehearsalk.com,Freshman,Business & Econ,Practice problems & past exams,Notion,Summarizing readings & notes,,,"Yeah, that sounds super useful"
2/27/2026 20:41:12,f2agngkjy@xxe.youngestsd.com,Sophomore,Business & Econ,Flashcards (physical or digital),Khan Academy,"Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:12,0z5ig5wev@ccv.lingeringp.com,Sophomore,Business & Econ,Flashcards (physical or digital),Khan Academy,"Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:12,mugpjlt4e@xxe.youngestsd.com,Sophomore,Business & Econ,Flashcards (physical or digital),Khan Academy,"Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:12,3td24nhok@xxe.youngestsd.com,Sophomore,Business & Econ,Flashcards (physical or digital),Khan Academy,"Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:12,m2tw3eb32@ccv.lingeringp.com,Sophomore,Business & Econ,Flashcards (physical or digital),Khan Academy,"Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:12,6jrpsiego@ccv.lingeringp.com,Sophomore,Business & Econ,Flashcards (physical or digital),Khan Academy,"Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:14,i1925eay8@xxe.youngestsd.com,Sophomore,Business & Econ,Flashcards (physical or digital),Khan Academy,"Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:14,8odms9zn8@ccv.lingeringp.com,Sophomore,Business & Econ,Flashcards (physical or digital),Khan Academy,"Summarizing readings & notes, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:14,3qsiuz3d@qqq.youngestsd.com,Junior,Business & Econ,"Re-read notes & textbook, Flashcards (physical or digital)","ChatGPT & Claude & AI chatbots, Anki","Explaining concepts I don't understand, Summarizing readings & notes",,,Maybe — depends on how it works
2/27/2026 20:41:16,fwixspvx@www.lingeringp.com,Junior,Humanities & Social Science,"Re-read notes & textbook, AI tools (ChatGPT, Claude, etc.)","ChatGPT & Claude & AI chatbots, Google Docs & Slides","Explaining concepts I don't understand, Generating practice questions",,,"Yeah, that sounds super useful"
2/27/2026 20:41:18,sf40tlfg@qqq.youngestsd.com,Freshman,Business & Econ,"Re-read notes & textbook, Flashcards (physical or digital)","ChatGPT & Claude & AI chatbots, Notion, Chegg & Course Hero","Explaining concepts I don't understand, Writing assistance",,,Maybe — depends on how it works
2/27/2026 20:41:18,y25u3dkb@www.lingeringp.com,Sophomore,"(CS, Engineering, Math, Science)",Re-read notes & textbook,ChatGPT & Claude & AI chatbots,Explaining concepts I don't understand,,,"Yeah, that sounds super useful"
2/27/2026 20:41:18,y5b4ycdn@qqq.youngestsd.com,Sophomore,Arts & Design,"Re-read notes & textbook, Watch YouTube & video explanations","ChatGPT & Claude & AI chatbots, Anki","Explaining concepts I don't understand, Checking my work & homework help",,,"Yeah, that sounds super useful"
2/27/2026 20:41:18,yhym9a5j@www.lingeringp.com,Freshman,Humanities & Social Science,"Re-read notes & textbook, Watch YouTube & video explanations","ChatGPT & Claude & AI chatbots, Khan Academy","Explaining concepts I don't understand, Checking my work & homework help",,,Maybe — depends on how it works
2/27/2026 20:41:25,l6h9lfjz@zz.xintaitong.com,Sophomore,"(CS, Engineering, Math, Science)","Flashcards (physical or digital), Study groups",Notion,,,,"Yeah, that sounds super useful"
2/27/2026 20:41:25,5y7fbuol@zz.xintaitong.com,Freshman,Humanities & Social Science,"Flashcards (physical or digital), Watch YouTube & video explanations","Anki, Notion","Explaining concepts I don't understand, Summarizing readings & notes",,,"Yeah, that sounds super useful"
